0.021 	0.005 
0.039 	0.010 
0.050 	0.015 
0.057 	0.020 
0.063 	0.025 
0.067 	0.030 
0.071 	0.035 
0.075 	0.039 
0.078 	0.044 
0.081 	0.049 
0.083 	0.054 
0.085 	0.059 
0.088 	0.063 
0.089 	0.068 
0.091 	0.073 
0.093 	0.077 
0.094 	0.082 
0.096 	0.087 
0.097 	0.091 
0.099 	0.096 
0.100 	0.101 
0.101 	0.105 
0.102 	0.110 
0.103 	0.114 
0.104 	0.119 
0.105 	0.123 
0.106 	0.128 
0.107 	0.132 
0.108 	0.137 
0.109 	0.141 
0.110 	0.146 
0.111 	0.150 
0.112 	0.154 
0.112 	0.159 
0.113 	0.163 
0.114 	0.167 
0.115 	0.172 
0.115 	0.176 
0.116 	0.180 
0.117 	0.185 
0.117 	0.189 
0.118 	0.193 
0.119 	0.197 
0.119 	0.201 
0.120 	0.206 
0.120 	0.210 
0.121 	0.214 
0.121 	0.218 
0.122 	0.222 
0.122 	0.226 
0.123 	0.230 
0.123 	0.234 
0.124 	0.238 
0.124 	0.242 
0.125 	0.246 
0.125 	0.250 
0.126 	0.254 
0.126 	0.258 
0.127 	0.262 
0.127 	0.266 
0.128 	0.270 
0.128 	0.274 
0.128 	0.278 
0.129 	0.282 
0.129 	0.285 
0.130 	0.289 
0.130 	0.293 
0.130 	0.297 
0.131 	0.301 
0.131 	0.304 
0.131 	0.308 
0.132 	0.312 
0.132 	0.315 
0.133 	0.319 
0.133 	0.323 
0.133 	0.326 
0.134 	0.330 
0.134 	0.334 
0.134 	0.337 
0.135 	0.341 
0.135 	0.344 
0.135 	0.348 
0.136 	0.352 
0.136 	0.355 
0.136 	0.359 
0.136 	0.362 
0.137 	0.366 
0.137 	0.369 
0.137 	0.373 
0.138 	0.376 
0.138 	0.379 
0.138 	0.383 
0.138 	0.386 
0.139 	0.390 
0.139 	0.393 
0.139 	0.396 
0.140 	0.400 
0.140 	0.403 
0.140 	0.406 
0.140 	0.410 
0.141 	0.413 
0.141 	0.416 
0.141 	0.419 
0.141 	0.423 
0.142 	0.426 
0.142 	0.429 
0.142 	0.432 
0.142 	0.435 
0.143 	0.438 
0.143 	0.442 
0.143 	0.445 
0.143 	0.448 
0.144 	0.451 
0.144 	0.454 
0.144 	0.457 
0.144 	0.460 
0.144 	0.463 
0.145 	0.466 
0.145 	0.469 
0.145 	0.472 
0.145 	0.475 
0.146 	0.478 
0.146 	0.481 
0.146 	0.484 
0.146 	0.487 
0.146 	0.490 
0.147 	0.493 
0.147 	0.496 
0.147 	0.499 
0.147 	0.502 
0.147 	0.504 
0.148 	0.507 
0.148 	0.510 
0.148 	0.513 
0.148 	0.516 
0.148 	0.519 
0.149 	0.521 
0.149 	0.524 
0.149 	0.527 
0.149 	0.530 
0.149 	0.532 
0.149 	0.535 
0.150 	0.538 
0.150 	0.540 
0.150 	0.543 
0.150 	0.546 
0.150 	0.548 
0.151 	0.551 
0.151 	0.554 
0.151 	0.556 
0.151 	0.559 
0.151 	0.561 
0.151 	0.564 
0.152 	0.567 
0.152 	0.569 
0.152 	0.572 
0.152 	0.574 
0.152 	0.577 
0.152 	0.579 
0.153 	0.582 
0.153 	0.584 
0.153 	0.587 
0.153 	0.589 
0.153 	0.592 
0.153 	0.594 
0.153 	0.597 
0.154 	0.599 
0.154 	0.601 
0.154 	0.604 
0.154 	0.606 
0.154 	0.608 
0.154 	0.611 
0.155 	0.613 
0.155 	0.615 
0.155 	0.618 
0.155 	0.620 
0.155 	0.622 
0.155 	0.625 
0.155 	0.627 
0.156 	0.629 
0.156 	0.632 
0.156 	0.634 
0.156 	0.636 
0.156 	0.638 
0.156 	0.640 
0.156 	0.643 
0.157 	0.645 
0.157 	0.647 
0.157 	0.649 
0.157 	0.651 
0.157 	0.653 
